enrollno,marks,rank
21002170310038,20.5,101
21002170110150,20,112
21002170110046,20,112
21002170110190,20,112
21002170110209,20,112
22002170120019,20,112
21002170110135,20,112
21002170110099,20,112
21002170110095,20,112
21002170110146,20,112
21002170510009,20,112
21002170110210,20,112
21002170110179,20,112
21002170510019,20,112
21002170110049,20,112
22002170220015,20,112
22002170120002,20,112
21002171210054,20,112
21002171210127,20,112
21002171210082,20,112
21002171210129,20,112
21002171210143,20,112
21002171210013,20,112
21002171210130,20,112
21002171210185,20,112
21002170210057,20,112
21002170210087,20,112
21002170610012,20,112
21002170210029,20,112
21002170110195,19.5,140
21002170110169,19.5,140
21002170110142,19.5,140
21002170110124,19.5,140
21002170110189,19.5,140
21002170110116,19.5,140
21002170110010,19.5,140
21002170110111,19.5,140
21002170110102,19.5,140
21002170110005,19.5,140
21002170510034,19.5,140
21002170110201,19.5,140
21002171210083,19.5,140
21002171210158,19.5,140
21002171210021,19.5,140
21002171210020,19.5,140
21002171210115,19.5,140
22002171220091,19.5,140
21002170310011,19.5,140
21002170210034,19.5,140
21002170210069,19.5,140
21002170610002,19.5,140
21002170210011,19.5,140
21002170210046,19.5,140
21002170210052,19.5,140
21002170210022,19.5,140
21002170210074,19.5,140
21002170110083,19,167
21002170110078,19,167
21002170110055,19,167
21002170110090,19,167
21002170110006,19,167
21002170110112,19,167
21002170110032,19,167
22002170220010,19,167
21002170110039,19,167
21002170110122,19,167
21002170110016,19,167
22002170120004,19,167
22002170120009,19,167
22002170220029,19,167
21002171210131,19,167
21002171210105,19,167
21002171210153,19,167
21002171210133,19,167
21002171210111,19,167
21002171210093,19,167
21002171210081,19,167
21002171210122,19,167
22002171220041,19,167
21002170210050,19,167
21002170410043,19,167
21002170110137,18.5,192
21002170110148,18.5,192
21002170110056,18.5,192
21002170510029,18.5,192
21002170110131,18.5,192
21002170110187,18.5,192
21002170110094,18.5,192
21002170110015,18.5,192
21002171210086,18.5,192
21002171210070,18.5,192
21002171210164,18.5,192
22002171220003,18.5,192
22002171220100,18.5,192
21002170410001,18.5,192
21002170610019,18.5,192
21002170210016,18.5,192
21002170210026,18.5,192
21002170110177,18,209
21002170110105,18,209
21002170110103,18,209
21002170110066,18,209
21002170110191,18,209
22002170120013,18,209
21002170510032,18,209
21002171210156,18,209
21002171210194,18,209
21002171210100,18,209
21002170210023,18,209
21002170210097,18,209
21002170310030,18,209
21002170210079,18,209
21002170410016,18,209
21002170410010,18,209
21002170110108,17.5,225
21002170510006,17.5,225
21002170110082,17.5,225
21002170110117,17.5,225
21002170110166,17.5,225
21002170110077,17.5,225
21002170110008,17.5,225
21002170110087,17.5,225
21002170110089,17.5,225
21002170110193,17.5,225
21002170110101,17.5,225
21002170110034,17.5,225
21002170110180,17.5,225
21002170110036,17.5,225
22002170220012,17.5,225
21002170110104,17.5,225
21002171210063,17.5,225
21002171210148,17.5,225
21002171210050,17.5,225
21002171210170,17.5,225
21002171210095,17.5,225
21002171210199,17.5,225
21002171210032,17.5,225
21002171210061,17.5,225
21002170210036,17.5,225
21002170610022,17.5,225
21002170310021,17.5,225
21002170110128,17,252
21002170110151,17,252
21002170110017,17,252
21002170110047,17,252
21002170110120,17,252
21002170510016,17,252
21002170110165,17,252
21002170110050,17,252
21002170110053,17,252
22002170220019,17,252
22002170120016,17,252
22002170220039,17,252
22002170220030,17,252
22002170120008,17,252
21002171210147,17,252
21002171210088,17,252
21002171210028,17,252
22002171220018,17,252
22002171220052,17,252
22002171220099,17,252
22002171220098,17,252
21002170210089,17,252
21002170210037,17,252
21002170410034,17,252
21002170210075,17,252
21002170310023,17,252
21002170210002,17,252
21002170310008,17,252
21002170210095,17,252
21002170610004,17,252
21002170110203,16.5,282
21002170110051,16.5,282
22002170220038,16.5,282
21002170510023,16.5,282
21002170110132,16.5,282
21002170110018,16.5,282
21002170110037,16.5,282
22002170220033,16.5,282
22002170220025,16.5,282
21002171210080,16.5,282
21002171210134,16.5,282
22002171220028,16.5,282
21002170210006,16.5,282
21002170210041,16.5,282
21002170410036,16.5,282
21002170210008,16.5,282
21002170110171,16,298
21002170110058,16,298
21002170110031,16,298
22002170220027,16,298
21002170110141,16,298
21002170110212,16,298
21002170510027,16,298
21002170110085,16,298
21002170110100,16,298
21002170110175,16,298
22002170220048,16,298
22002170220002,16,298
22002170220032,16,298
22002170120011,16,298
21002171210094,16,298
21002171210052,16,298
21002171210188,16,298
21002171210019,16,298
22002171220059,16,298
21002170210090,16,298
21002170210073,16,298
21002170210100,16,298
21002170210093,16,298
21002170410041,16,298
21002170410031,16,298
21002170310001,16,298
21002170110200,15.5,324
21002170110121,15.5,324
21002170510008,15.5,324
21002170110184,15.5,324
21002170110163,15.5,324
21002170110064,15.5,324
22002170120020,15.5,324
21002170110070,15.5,324
21002170110068,15.5,324
21002170510017,15.5,324
21002171210016,15.5,324
21002171210140,15.5,324
21002171210183,15.5,324
21002171210160,15.5,324
21002171210038,15.5,324
21002171210048,15.5,324
21002170210092,15.5,324
21002170210081,15.5,324
21002170610013,15.5,324
21002170210096,15.5,324
21002170110029,15,344
21002170110026,15,344
22002170220024,15,344
22002170120015,15,344
22002170220013,15,344
22002170220037,15,344
21002171210025,15,344
21002171210099,15,344
21002171210107,15,344
22002171220006,15,344
21002171210062,15,344
21002171210195,15,344
21002171210168,15,344
22002171220093,15,344
21002170210033,15,344
21002170410038,15,344
21002170310014,15,344
21002170210103,15,344
21002170110154,14.5,362
21002170110126,14.5,362
21002170110130,14.5,362
21002170110176,14.5,362
21002170110185,14.5,362
21002170110207,14.5,362
21002170110198,14.5,362
21002170510002,14.5,362
21002171210124,14.5,362
22002171220095,14.5,362
22002171220079,14.5,362
21002170210009,14.5,362
21002170110115,14,374
21002170110044,14,374
21002170110199,14,374
21002170110161,14,374
21002170110119,14,374
21002170110054,14,374
22002170120021,14,374
22002170220026,14,374
21002170110160,14,374
21002170110002,14,374
22002170120005,14,374
22002170120018,14,374
21002171210102,14,374
22002171220040,14,374
22002170520001,14,374
21002171210196,14,374
22002171220009,14,374
22002171220016,14,374
21002170210005,14,374
21002170210039,14,374
21002170610006,14,374
21002170310017,14,374
21002170210058,14,374
21002170110172,13.5,397
21002170110065,13.5,397
21002170110118,13.5,397
21002170110012,13.5,397
22002170120012,13.5,397
22002170120014,13.5,397
21002170510004,13.5,397
21002170510030,13.5,397
22002170620001,13.5,397
22002171220102,13.5,397
22002170420004,13.5,397
21002171210165,13.5,397
22002171220024,13.5,397
21002170210072,13.5,397
21002170310019,13.5,397
21002170210018,13.5,397
21002170210013,13.5,397
21002170410024,13.5,397
21002170410017,13.5,397
21002170410012,13.5,397
21002170610017,13.5,397
21002170210038,13.5,397
21002170110114,13,419
21002170110020,13,419
21002170110098,13,419
21002170110158,13,419
22002170220043,13,419
21002171210125,13,419
21002171210137,13,419
22002171220057,13,419
22002171220101,13,419
21002171210157,13,419
21002171210145,13,419
22002171220053,13,419
22002171220068,13,419
21002170210054,13,419
21002170210101,13,419
21002170210010,13,419
21002170410039,13,419
21002170310036,13,419
21002170410028,13,419
21002170310015,13,419
21002170210070,13,419
21002170210078,13,419
21002170110001,12.5,441
21002170510012,12.5,441
21002170510031,12.5,441
22002170220042,12.5,441
21002170110072,12.5,441
21002170510011,12.5,441
22002170120017,12.5,441
22002170220023,12.5,441
21002171210120,12.5,441
21002171210044,12.5,441
21002171210126,12.5,441
22002171220014,12.5,441
22002171220035,12.5,441
21002171210132,12.5,441
22002171220089,12.5,441
21002171210190,12.5,441
22002171220072,12.5,441
22002171220096,12.5,441
22002171220013,12.5,441
21002170410019,12.5,441
21002170610014,12.5,441
21002170410011,12.5,441
21002170610026,12.5,441
21002170110048,12,464
21002170110021,12,464
22002170120001,12,464
21002170110007,12,464
21002170110043,12,464
21002170110061,12,464
22002171220094,12,464
21002171210024,12,464
21002171210026,12,464
21002171210005,12,464
22002171220088,12,464
21002171210096,12,464
21002171210018,12,464
22002171220064,12,464
22002171220055,12,464
22002170420001,12,464
21002170210012,12,464
21002170310010,12,464
21002170310025,12,464
21002170310006,12,464
21002170110136,11.5,484
21002170110109,11.5,484
22002170220006,11.5,484
21002170510035,11.5,484
21002170110107,11.5,484
22002170120003,11.5,484
22002170220031,11.5,484
21002170110181,11.5,484
21002171210161,11.5,484
21002171210069,11.5,484
21002171210186,11.5,484
21002171210166,11.5,484
21002171210141,11.5,484
21002171210091,11.5,484
22002171220049,11.5,484
21002171210017,11.5,484
21002171210087,11.5,484
22002171220075,11.5,484
22002171220073,11.5,484
22002170420006,11.5,484
21002171210011,11.5,484
22002171220058,11.5,484
22002171220029,11.5,484
21002170310029,11.5,484
21002170310024,11.5,484
21002170210068,11.5,484
21002170610015,11.5,484
21002170110168,11,511
21002170110092,11,511
21002171210167,11,511
22002171220090,11,511
21002171210076,11,511
22002171220082,11,511
21002171210045,11,511
22002171220097,11,511
21002170310026,11,511
21002170410035,11,511
21002170210055,11,511
21002170210062,11,511
21002170410009,11,511
21002170410025,11,511
21002170310013,11,511
21002170210076,11,511
21002170310027,11,511
21002170210080,11,511
21002170210082,11,511
21002170110023,10.5,530
21002170110013,10.5,530
21002170110084,10.5,530
21002170110030,10.5,530
22002170220040,10.5,530
21002170110134,10.5,530
21002170110093,10.5,530
21002170110211,10.5,530
21002170510018,10.5,530
22002170220041,10.5,530
22002170220045,10.5,530
21002171210067,10.5,530
21002171210192,10.5,530
21002171210066,10.5,530
21002171210103,10.5,530
21002171210163,10.5,530
21002171210114,10.5,530
21002171210155,10.5,530
21002171210179,10.5,530
22002171220026,10.5,530
22002171220069,10.5,530
21002171210152,10.5,530
21002171210176,10.5,530
22002171220002,10.5,530
22002171220047,10.5,530
22002171220076,10.5,530
22002170420005,10.5,530
21002170210007,10.5,530
21002170210064,10.5,530
22002170220022,10,559
22002170220007,10,559
21002171210007,10,559
21002171210090,10,559
21002171210169,10,559
21002171210117,10,559
22002171220084,10,559
21002171210097,10,559
21002171210172,10,559
21002171210033,10,559
22002171220021,10,559
22002171220080,10,559
21002170210084,10,559
21002170210047,10,559
21002170210044,10,559
21002170210024,10,559
21002170210051,10,559
21002170210040,10,559
21002170210067,10,559
21002170610008,10,559
21002170410007,10,559
21002170310035,10,559
21002170310009,10,559
21002170110192,9.5,582
21002170510038,9.5,582
21002170110024,9.5,582
21002170510036,9.5,582
21002170110155,9.5,582
22002170220036,9.5,582
21002170510022,9.5,582
22002170220028,9.5,582
21002171210136,9.5,582
21002171210171,9.5,582
22002171220083,9.5,582
21002171210042,9.5,582
21002171210189,9.5,582
21002171210078,9.5,582
21002171210089,9.5,582
22002171220062,9.5,582
21002171210159,9.5,582
21002171210053,9.5,582
21002171210014,9.5,582
21002171210072,9.5,582
22002171220043,9.5,582
22002170520004,9.5,582
21002171210121,9.5,582
21002171210173,9.5,582
22002171220005,9.5,582
22002171220051,9.5,582
22002171220004,9.5,582
22002171220031,9.5,582
21002170210042,9.5,582
21002170410005,9.5,582
21002170610018,9.5,582
22002170120022,9,613
21002170110173,9,613
21002170110040,9,613
21002170110022,9,613
21002170110188,9,613
22002170220047,9,613
22002170220020,9,613
22002170220016,9,613
22002170220049,9,613
22002170220009,9,613
22002170220035,9,613
21002170510013,9,613
21002170510026,9,613
21002171210068,9,613
21002171210064,9,613
21002171210006,9,613
21002171210058,9,613
21002171210139,9,613
21002171210015,9,613
21002171210071,9,613
21002171210001,9,613
22002171220042,9,613
22002171220030,9,613
21002171210180,9,613
21002171210110,9,613
22002171220070,9,613
22002171220092,9,613
21002171210193,9,613
21002171210104,9,613
22002171220001,9,613
21002171210101,9,613
22002171220038,9,613
21002171210098,9,613
22002171220046,9,613
21002171210198,9,613
22002171220008,9,613
21002171210073,9,613
22002171220017,9,613
22002171220048,9,613
22002170520003,9,613
21002171210057,9,613
22002171220032,9,613
21002171210128,9,613
22002171220054,9,613
21002170210043,9,613
21002170610001,9,613
21002170210099,9,613
21002170210063,9,613
21002170310018,9,613
21002170410022,9,613
21002170210091,9,613
21002170610020,9,613
21002170410045,9,613
21002170610025,9,613
21002170410008,9,613
21002170310005,9,613
21002170210028,9,613
21002170410044,9,613
21002170310034,9,613
21002170610016,9,613
21002170310016,9,613
21002170610024,9,613
21002170310003,9,613
21002170110125,8.5,676
21002171210041,8.5,676
21002171210059,8.5,676
21002171210182,8.5,676
22002171220034,8.5,676
21002170210061,8.5,676
21002170210088,8.5,676
21002170610009,8.5,676
21002170110076,8,684
21002170510033,8,684
21002170110060,8,684
22002170220014,8,684
22002170220005,8,684
21002170510005,8,684
21002171210142,8,684
21002171210092,8,684
22002171220022,8,684
21002171210004,8,684
22002171220071,8,684
21002171210113,8,684
22002171220045,8,684
21002171210036,8,684
22002171220086,8,684
21002171210106,8,684
21002171210023,8,684
21002170310031,8,684
21002170610003,8,684
21002170410026,8,684
21002170210001,8,684
21002170610010,8,684
21002170110197,7.5,706
21002170110045,7.5,706
21002170510024,7.5,706
22002171220019,7.5,706
21002171210012,7.5,706
21002171210009,7.5,706
22002171220027,7.5,706
21002171210184,7.5,706
22002171220061,7.5,706
21002171210187,7.5,706
22002171220078,7.5,706
22002171220050,7.5,706
22002171220012,7.5,706
22002171220020,7.5,706
22002171220010,7.5,706
21002171210051,7.5,706
22002170320002,7.5,706
21002170610007,7.5,706
21002170210004,7.5,706
21002170210014,7.5,706
21002170210020,7.5,706
21002170310002,7.5,706
21002170510020,7,728
22002170220018,7,728
22002170220004,7,728
21002170510007,7,728
22002171220087,7,728
21002171210039,7,728
22002171220037,7,728
22002171220033,7,728
22002171220066,7,728
22002171220065,7,728
21002170410003,7,728
21002170210003,7,728
21002170210032,7,728
21002170310032,7,728
21002170310004,7,728
21002170110073,6.5,743
21002170110027,6.5,743
21002170110202,6.5,743
21002170110075,6.5,743
22002170220011,6.5,743
22002170220001,6.5,743
21002170510015,6.5,743
22002170220017,6.5,743
21002171210077,6.5,743
21002171210146,6.5,743
21002171210150,6.5,743
21002171210123,6.5,743
21002171210175,6.5,743
22002171220074,6.5,743
21002171210084,6.5,743
22002171220056,6.5,743
21002171210144,6.5,743
22002171220060,6.5,743
21002171210197,6.5,743
22002170520002,6.5,743
21002170410029,6.5,743
21002170410023,6.5,743
21002170210045,6.5,743
21002170210030,6.5,743
21002170510025,6,767
21002170110033,6,767
21002170510010,6,767
21002170110088,6,767
21002170110014,6,767
22002170220046,6,767
21002170110204,6,767
21002170510001,6,767
21002171210003,6,767
22002171220011,6,767
21002171210138,6,767
21002171210119,6,767
22002170320003,6,767
22002171220063,6,767
22002170420003,6,767
21002170210031,6,767
21002170210102,6,767
21002170110138,5.5,784
22002170220034,5.5,784
22002170220003,5.5,784
22002170220008,5.5,784
21002171210060,5.5,784
21002171210149,5.5,784
21002171210035,5.5,784
22002171220044,5.5,784
21002171210154,5.5,784
21002171210174,5.5,784
22002171220025,5.5,784
21002171210010,5.5,784
22002171220023,5.5,784
21002170410037,5.5,784
21002170310012,5.5,784
21002170410042,5.5,784
21002171210040,5,800
21002171210079,5,800
21002171210181,5,800
21002171210085,5,800
22002171220007,5,800
21002170310041,5,800
21002170110086,4.5,806
21002171210037,4.5,806
21002171210008,4.5,806
21002170210098,4.5,806
21002170310033,4.5,806
21002170110003,4,811
22002170120006,4,811
21002171210074,4,811
21002171210201,4,811
21002171210027,4,811
21002171210002,4,811
21002171210030,4,811
21002171210118,4,811
21002170210077,4,811
22002170220044,3.5,820
21002171210178,3.5,820
22002171220036,3.5,820
21002170510014,2.5,823
22002171220077,2,824
21002170110164,1.5,825
21002171210162,0,826
22002171220015,-1,0
21002171210031,-1,0
22002170320004,-1,0
21002171210056,-1,0
22002171220067,-1,0
22002170320001,-1,0
